prototipo,operador,run,flight time 1,flight time 2,flight time 3
1,1,1,1.37,1.37,1.38
1,1,2,1.38,1.42,1.38
1,1,3,1.31,1.38,1.44
1,1,4,1.39,1.31,1.41
1,1,5,1.39,1.33,1.31
2,1,1,1.22,1.23,1.23
2,1,2,1.23,1.29,1.32
2,1,3,1.21,1.27,1.39
2,1,4,1.32,1.32,1.38
2,1,5,1.4,1.28,1.37
3,1,1,1.28,1.4,1.43
3,1,2,1.25,1.43,1.24
3,1,3,1.32,1.35,1.29
3,1,4,1.43,1.38,1.28
3,1,5,1.37,1.21,1.39
4,1,1,1.28,1.49,1.22
4,1,2,1.3,1.27,1.25
4,1,3,1.34,1.32,1.33
4,1,4,1.47,1.46,1.49
4,1,5,1.48,1.48,1.43
1,2,1,1.4,1.44,1.31
1,2,2,1.37,1.26,1.37
1,2,3,1.2,1.37,1.37
1,2,4,1.37,1.34,1.48
1,2,5,1.33,1.4,1.35
2,2,1,1.34,1.35,1.38
2,2,2,1.36,1.35,1.35
2,2,3,1.27,1.23,1.33
2,2,4,1.3,1.32,1.31
2,2,5,1.21,1.24,1.29
3,2,1,1.2,1.37,1.29
3,2,2,1.37,1.38,1.37
3,2,3,1.43,1.32,1.27
3,2,4,1.27,1.35,1.17
3,2,5,1.28,1.36,1.31
4,2,1,1.37,1.29,1.32
4,2,2,1.26,1.36,1.3
4,2,3,1.2,1.17,1.27
4,2,4,1.11,1.32,1.23
4,2,5,1.22,1.31,1.35
