prototipo,operador,run,flight time
1,anderson,1,1.73
1,anderson,2,1.88
1,anderson,3,1.84
1,anderson,4,1.74
1,anderson,5,1.83
2,anderson,1,1.82
2,anderson,2,1.8
2,anderson,3,1.88
2,anderson,4,1.88
2,anderson,5,1.91
3,anderson,1,1.79
3,anderson,2,1.87
3,anderson,3,1.96
3,anderson,4,1.88
3,anderson,5,1.77
4,anderson,1,1.74
4,anderson,2,1.94
4,anderson,3,1.54
4,anderson,4,1.85
4,anderson,5,1.74
1,juliana,1,1.68
1,juliana,2,1.76
1,juliana,3,1.78
1,juliana,4,1.76
1,juliana,5,1.7
2,juliana,1,1.8
2,juliana,2,1.64
2,juliana,3,1.74
2,juliana,4,1.74
2,juliana,5,1.75
3,juliana,1,1.71
3,juliana,2,1.7
3,juliana,3,1.82
3,juliana,4,1.57
3,juliana,5,1.77
4,juliana,1,1.62
4,juliana,2,1.68
4,juliana,3,1.67
4,juliana,4,1.74
4,juliana,5,1.78
