number,operador,prototipo,anteparo,altura,asa,hand,medidorigual,tempoparada,runs,commit
1,'AJ','4 - diferentes - 1 2 3 4',false,'indeterminada',free,clip,false,ouvido,'3 - no mean',alturas de lançamento aleatória não quantificada
2,'AJ','4 - diferentes - 1 2 3 4',false,1.5,free,clip,false,ouvido,'3 - no mean',alturas de lançamento medidas no momento do lançamento
3,'AJ','4 - iguais - 4 4 4 4',false,1.5,free,clip,false,ouvido,'5 - 3 mean',alturas de lançamento medidas no momento do lançamento
4,'AJ','4 - iguais - 4 4 4 4,true,1.5,caida,clip,false,ouvido,'5 - 3 mean',
5,'AJ','4 - iguais - 4 4 4 4,true,1.5,paralela,dedoinclinado,false,ouvido,'5 - 3 mean',
6,'AJ','4 - iguais - 4 4 4 4',false,1.5,caida,top,true,visual,'5 - no mean',
7,'AJ','4 - iguais - 4 4 4 4',false,2,caida,top,true,visual,'5 - no mean',
8,'AJ','1 - repetido - 4 4 4 4',false,2,caida,top,true,visual,'5 - no mean',
9,'indeterminado','4 - diferentes - 1 2 3 4',false,2,caida,top,true,visual,'20 - no mean',
10,'Seixas','1 - 3',false,2.13,caida,top,true,visual,'20 - no mean',
11,'Anderson','1 - 3',false,1875,caida,top,true,visual,'20 - no mean',
